Date,Amount,Note,Payee,Ownership,Account,Heading,Category
2019-01-01,1073.1,lorem ipsum,lorem ipsum,John Doe,Bank of Fivenies,Income,Wages
2019-02-01,347.07,lorem ipsum,lorem ipsum,John Doe,Bank of Fivenies,Income,Wages
2019-03-01,1212.09,lorem ipsum,lorem ipsum,John Doe,Bank of Fivenies,Income,Wages
2019-04-01,4027.65,lorem ipsum,lorem ipsum,John Doe,Bank of Fivenies,Income,Wages
2019-05-01,1202.7,lorem ipsum,lorem ipsum,John Doe,Bank of Fivenies,Income,Wages
2019-06-01,2578.68,lorem ipsum,lorem ipsum,John Doe,Bank of Fivenies,Income,Wages
2019-07-01,3911.22,lorem ipsum,lorem ipsum,John Doe,Bank of Fivenies,Income,Wages
2019-08-01,36.84,lorem ipsum,lorem ipsum,John Doe,Bank of Fivenies,Income,Wages
2019-09-01,1189.95,lorem ipsum,lorem ipsum,John Doe,Bank of Fivenies,Income,Wages
2019-10-01,6210,lorem ipsum,lorem ipsum,John Doe,Bank of Fivenies,Income,Wages
2019-11-01,4462.92,lorem ipsum,lorem ipsum,John Doe,Bank of Fivenies,Income,Wages
2019-12-01,4211.76,lorem ipsum,lorem ipsum,John Doe,Bank of Fivenies,Income,Wages
2019-01-16,-32.1,lorem ipsum,lorem ipsum,John Doe,Bank of Fivenies,Housing,Rent
2019-10-08,-199.9,lorem ipsum,lorem ipsum,John Doe,Bank of Fivenies,Housing,Rent
2019-04-14,-50.9,lorem ipsum,lorem ipsum,John Doe,Bank of Fivenies,Housing,Rent
2019-12-22,-59.97,lorem ipsum,lorem ipsum,John Doe,Bank of Fivenies,Housing,Rent
2019-08-04,-14.54,lorem ipsum,lorem ipsum,John Doe,Bank of Fivenies,Housing,Rent
2019-11-21,-83.26,lorem ipsum,lorem ipsum,John Doe,Bank of Fivenies,Housing,Maintenance
2019-10-15,-254.97,lorem ipsum,lorem ipsum,John Doe,Bank of Fivenies,Housing,Maintenance
2019-04-28,-94.43,lorem ipsum,lorem ipsum,John Doe,Bank of Fivenies,Housing,Maintenance
2019-08-24,-60.48,lorem ipsum,lorem ipsum,John Doe,Bank of Fivenies,Housing,Maintenance
2019-09-16,-309.23,lorem ipsum,lorem ipsum,John Doe,Bank of Fivenies,Housing,Maintenance
2019-08-02,-85.14,lorem ipsum,lorem ipsum,John Doe,Bank of Fivenies,Personal,Memberships
2019-04-08,-7.99,lorem ipsum,lorem ipsum,John Doe,Bank of Fivenies,Personal,Memberships
2019-10-03,-42.7,lorem ipsum,lorem ipsum,John Doe,Bank of Fivenies,Personal,Charity
2019-03-05,-85.21,lorem ipsum,lorem ipsum,John Doe,Bank of Fivenies,Personal,Charity
2019-11-01,-362.84,lorem ipsum,lorem ipsum,John Doe,Bank of Fivenies,Personal,Charity
2019-09-28,-215.14,lorem ipsum,lorem ipsum,John Doe,Bank of Fivenies,Personal,Charity
2019-02-08,-76.62,lorem ipsum,lorem ipsum,John Doe,Bank of Fivenies,Personal,Charity
2019-03-15,-142.74,lorem ipsum,lorem ipsum,John Doe,Bank of Fivenies,Food and dining,Groceries
2019-09-09,-298.67,lorem ipsum,lorem ipsum,John Doe,Bank of Fivenies,Food and dining,Groceries
